,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
143,Harar,9.31,42.13,15.31,96,61,2.37,ET,1590031602
144,Cockburn Town,21.46,-71.14,26.82,83,93,6.57,TC,1590031602
145,Laguna,38.42,-121.42,23.0,37,1,2.6,US,1590031602
146,Qaanaaq,77.48,-69.36,-3.78,93,5,0.72,GL,1590031603
147,Klaksvík,62.23,-6.59,8.0,100,81,3.6,FO,1590031603
148,Shakawe,-18.37,21.85,10.2,49,0,2.16,BW,1590031603
149,Dingle,11.0,122.67,33.51,53,57,2.33,PH,1590031603
150,Souillac,-20.52,57.52,21.0,88,75,5.7,MU,1590031603
151,Pokhara,28.23,83.98,27.31,39,14,1.22,NP,1590031603
152,Newport,51.59,-3.0,13.89,89,100,2.65,GB,1590031603
153,Ambalema,4.78,-74.76,13.0,76,20,1.5,CO,1590031603
154,Lobito,-12.35,13.55,24.11,79,0,0.97,AO,1590031603
155,Bethel,41.37,-73.41,7.22,70,1,1.19,US,1590031604
156,Saldanha,-33.01,17.94,13.0,76,7,3.6,ZA,1590031604
157,Hobyo,5.35,48.53,27.4,72,46,9.73,SO,1590031604
158,Cidreira,-30.18,-50.21,20.01,83,0,4.42,BR,1590031604
159,Colares,38.8,-9.45,16.11,80,100,5.65,PT,1590031604
160,Bandar-e Lengeh,26.56,54.88,27.0,78,9,2.1,IR,1590031604
161,Maniitsoq,65.42,-52.9,1.21,89,68,5.18,GL,1590031604
162,Kalmunai,7.42,81.82,29.09,71,87,1.78,LK,1590031604
163,Minas,-34.38,-55.24,19.0,93,90,3.1,UY,1590031406
164,Nanortalik,60.14,-45.24,3.69,75,80,3.71,GL,1590031604
165,Oleksandrivka,46.84,32.76,11.26,80,97,5.17,UA,1590031604
166,Cabedelo,-6.98,-34.83,26.04,85,58,4.93,BR,1590031604
167,Portland,45.52,-122.68,14.44,62,75,2.1,US,1590031501
168,Tombouctou,20.0,-3.0,28.24,14,0,5.96,ML,1590031605
169,Norman Wells,65.28,-126.83,10.0,46,20,4.6,CA,1590031605
170,Kapoeta,4.77,33.59,26.27,55,25,6.19,SS,1590031605
171,Batemans Bay,-35.72,150.18,17.78,44,66,2.24,AU,1590031605
172,Bredasdorp,-34.53,20.04,18.0,31,19,4.6,ZA,1590031605
173,Carutapera,-1.2,-46.02,24.71,93,100,2.18,BR,1590031605
174,Kaitangata,-46.28,169.85,12.78,47,100,1.34,NZ,1590031605
175,Lagoa,39.05,-27.98,17.11,79,100,14.48,PT,1590031605
176,Umluj,25.02,37.27,28.58,49,0,2.25,SA,1590031605
177,Dikson,73.51,80.55,3.76,100,99,2.28,RU,1590031605
178,Barstow,34.9,-117.02,23.0,13,1,2.6,US,1590031584
179,Maubin,16.73,95.65,30.0,74,90,4.1,MM,1590031605
180,Saint George,37.1,-113.58,21.11,19,1,2.6,US,1590031418
181,Te Anau,-45.42,167.72,12.31,73,100,5.24,NZ,1590031605
182,Xam Nua,20.42,104.04,29.9,51,99,3.0,LA,1590031605
183,Kaeo,-35.1,173.78,17.22,39,26,4.47,NZ,1590031606
184,Bhan,26.56,67.72,36.52,19,17,3.4,PK,1590031606
185,Naze,28.37,129.48,23.0,60,75,1.5,JP,1590031606
186,Brownsville,25.9,-97.5,28.0,78,90,6.7,US,1590031594
187,Esperance,-33.87,121.9,15.0,77,90,3.1,AU,1590031606
188,Hong Kong,22.29,114.16,29.44,79,40,4.6,HK,1590031446
189,Ambovombe,-25.17,46.08,18.14,79,0,6.05,MG,1590031606
190,Honningsvåg,70.98,25.97,3.05,78,31,2.68,NO,1590031606
191,Lapeer,43.05,-83.32,12.22,81,1,2.94,US,1590031606
192,Lebu,-37.62,-73.65,9.5,84,0,2.72,CL,1590031607
193,Severo-Kuril'sk,50.68,156.12,4.06,79,17,6.13,RU,1590031607
194,Coahuayana Viejo,18.73,-103.68,22.96,83,43,0.69,MX,1590031607
195,Nanga Eboko,4.68,12.37,20.21,98,100,1.12,CM,1590031607
196,Algiers,36.75,3.04,13.0,87,0,1.5,DZ,1590031020
197,Toora-Khem,52.47,96.11,20.45,33,0,2.6,RU,1590031607
198,Kahului,20.89,-156.47,27.0,61,40,8.7,US,1590031491
199,Dauphin,51.15,-100.05,17.0,63,1,3.1,CA,1590031323
200,Bonavista,48.65,-53.11,3.89,80,95,2.68,CA,1590031608
201,Korla,41.76,86.15,23.42,35,99,4.14,CN,1590031608
202,Thinadhoo,0.53,72.93,29.23,76,5,5.46,MV,1590031608
203,Tual,-5.67,132.75,28.4,79,42,4.87,ID,1590031608
204,Coquimbo,-29.95,-71.34,11.7,87,34,0.89,CL,1590031608
205,Cuxhaven,53.87,8.69,9.0,100,20,2.1,DE,1590031608
206,Los Arroyos,14.64,-88.89,23.14,80,100,1.48,HN,1590031609
207,Mahibadhoo,3.78,72.97,29.08,78,23,8.07,MV,1590031609
208,Kichera,55.94,110.1,16.31,32,8,4.13,RU,1590031609
209,Touros,-5.2,-35.46,24.0,100,75,1.5,BR,1590031609
210,Clyde River,70.47,-68.59,-5.0,92,90,7.2,CA,1590031609
211,Caravelas,-17.71,-39.25,22.68,82,59,3.33,BR,1590031610
212,Abhā,18.22,42.51,17.0,67,49,1.13,SA,1590031610
213,Alugan,12.22,125.48,30.74,65,100,4.56,PH,1590031610
214,Latung,5.5,120.88,28.95,77,89,3.53,PH,1590031610
215,Namatanai,-3.67,152.43,29.44,72,6,3.98,PG,1590031610
216,Inírida,3.87,-67.92,24.14,95,100,0.29,CO,1590031610
217,Luanda,-8.84,13.23,26.0,88,75,1.5,AO,1590031610
218,Zyryanka,65.75,150.85,10.23,45,0,5.44,RU,1590031610
219,Acapulco de Juárez,16.86,-99.89,26.71,69,31,2.54,MX,1590031611
220,Ahipara,-35.17,173.17,17.25,62,21,3.07,NZ,1590031611
221,Altoona,40.52,-78.39,12.0,37,1,4.6,US,1590031611
222,Qeshm,26.96,56.27,30.0,51,0,2.1,IR,1590031325
223,Barcelos,41.54,-8.62,13.89,100,100,2.1,PT,1590031361
224,Jalalabad,34.43,70.45,28.0,32,20,1.88,AF,1590031611
225,Shingū,33.73,135.98,20.0,60,75,4.1,JP,1590031611
226,Úbeda,38.01,-3.37,22.22,52,0,0.54,ES,1590031611
227,Kazachinskoye,57.7,93.28,21.49,34,0,4.33,RU,1590031482
228,Diré,12.28,-10.97,29.22,24,82,0.99,ML,1590031611
229,Barra de Tecoanapa,16.52,-98.75,27.33,74,97,1.98,MX,1590031611
230,Samarai,-10.62,150.67,27.68,83,83,6.34,PG,1590031611
231,Pisco,-13.7,-76.22,18.0,82,90,2.1,PE,1590031612
232,Jalu,29.03,21.55,20.21,58,36,6.68,LY,1590031612
233,Mamontovo,52.71,81.62,17.32,51,100,2.88,RU,1590031612
234,Filingué,14.35,3.32,32.38,16,90,5.37,NE,1590031612
235,Arrondissement de Mende,44.67,3.5,7.67,98,25,1.99,FR,1590031612
236,Sitka,57.05,-135.33,11.0,76,75,6.2,US,1590031612
237,Berbera,10.44,45.01,32.02,55,0,3.39,SO,1590031612
238,Dromolaxia,34.88,33.59,24.0,38,0,1.5,CY,1590031612
239,Sarkand,45.41,79.92,19.5,30,100,1.35,KZ,1590031612
240,Ribeira Grande,38.52,-28.7,16.86,77,100,13.42,PT,1590031613
241,Erzin,36.96,36.2,20.0,63,0,2.1,TR,1590031613
242,Macas,-2.32,-78.12,20.27,81,100,0.83,EC,1590031614
243,Jasper,37.2,-94.35,17.22,87,1,2.1,US,1590031388
244,Port Alfred,-33.59,26.89,17.22,55,1,4.19,ZA,1590031614
245,Cienfuegos,22.15,-80.44,24.0,78,4,1.5,CU,1590031614
246,Ingrāj Bāzār,25.0,88.15,24.42,81,100,13.19,IN,1590031614
247,Alofi,-19.06,-169.92,24.87,78,56,2.85,NU,1590031614
248,Santa Rosa de Viterbo,-21.47,-47.36,21.0,60,75,2.1,BR,1590031615
249,Mayo,38.89,-76.51,12.22,71,1,5.1,US,1590031316
250,Olafsvik,64.89,-23.71,6.93,87,100,15.59,IS,1590031615
251,Sosnogorsk,63.6,53.88,7.88,83,63,3.18,RU,1590031615
252,Gävle,60.67,17.14,3.33,72,0,1.18,SE,1590031615
253,Quzhou,28.96,118.87,19.64,86,100,3.45,CN,1590031615
254,Kiama,-34.68,150.87,16.67,89,88,2.68,AU,1590031615
255,Puerto Escondido,15.85,-97.07,29.11,67,19,2.89,MX,1590031615
256,Tokur,53.13,132.9,7.51,78,98,2.18,RU,1590031615
257,Tautira,-17.73,-149.15,29.0,66,40,2.6,PF,1590031615
258,Thompson,55.74,-97.86,8.0,52,75,4.6,CA,1590031476
259,Ayan,56.45,138.17,2.32,96,100,2.64,RU,1590031615
260,San Rafael,-34.62,-68.33,9.38,61,94,0.99,AR,1590031616
261,Aden,12.78,45.04,29.88,86,7,4.43,YE,1590031505
262,Lompoc,34.64,-120.46,14.0,76,1,7.2,US,1590031386
263,Yerofey Pavlovich,53.97,121.97,10.76,80,100,1.89,RU,1590031616
264,‘Ewa Beach,21.32,-158.01,28.0,54,20,5.7,US,1590031616
265,Bima,-8.47,118.72,30.78,62,38,1.2,ID,1590031616
266,Richards Bay,-28.78,32.04,17.85,86,17,2.17,ZA,1590031616
267,Kānkon,15.02,74.02,29.63,68,89,1.26,IN,1590031616
268,Isangel,-19.55,169.27,23.45,67,5,7.19,VU,1590031616
269,Joshīmath,30.57,79.57,23.04,17,0,0.41,IN,1590031616
270,Lavrentiya,65.58,-171.0,-0.07,96,0,2.69,RU,1590031616
271,Hofn,64.25,-15.21,7.48,87,61,5.54,IS,1590031616
272,Kimbe,-5.55,150.14,30.28,72,93,0.15,PG,1590031616
273,Noyabrsk,63.2,75.45,16.38,53,100,4.41,RU,1590031617
274,Chernyshevskiy,63.01,112.47,14.07,54,10,3.49,RU,1590031617
275,Tigil',57.8,158.67,10.16,51,15,6.53,RU,1590031617
276,Cap Malheureux,-19.98,57.61,21.67,84,29,3.13,MU,1590031617
277,Yeppoon,-23.13,150.73,24.0,73,75,2.1,AU,1590031617
278,Vila,42.03,-8.16,13.33,89,100,0.45,PT,1590031617
279,Los Llanos de Aridane,28.66,-17.92,19.0,72,20,4.6,ES,1590031617
280,Waingapu,-9.66,120.26,28.32,70,98,6.26,ID,1590031617
281,Río Gallegos,-51.62,-69.22,2.0,80,49,5.1,AR,1590031617
282,Port Hardy,50.7,-127.42,10.0,71,75,5.7,CA,1590031617
283,Riyadh,24.69,46.72,26.0,22,0,2.6,SA,1590031421
284,Sur,22.57,59.53,34.08,27,33,1.95,OM,1590031617
285,Puerto Madryn,-42.77,-65.04,10.01,66,90,3.47,AR,1590031617
286,Dashitou,43.31,128.51,8.34,75,100,2.89,CN,1590031618
287,Pucallpa,-8.38,-74.55,23.7,84,65,0.49,PE,1590031618
288,Santa Isabel Rio Negro,-0.41,-65.02,23.92,93,16,0.55,BR,1590031618
289,Ancud,-41.87,-73.82,6.11,100,75,0.5,CL,1590031618
290,Yarmouth,41.71,-70.23,8.89,70,1,2.71,US,1590031618
291,Taltal,-25.4,-70.48,12.82,75,0,0.89,CL,1590031619
292,Paamiut,61.99,-49.67,2.01,92,5,2.95,GL,1590031372
293,Kalmar,56.66,16.36,4.44,70,1,1.57,SE,1590031619
294,Petropavlovsk-Kamchatskiy,53.05,158.65,13.0,50,40,6.0,RU,1590031619
295,Mmabatho,-25.85,25.63,10.96,50,0,4.12,ZA,1590031619
296,Hamilton,39.18,-84.53,12.22,87,90,4.1,US,1590031619
297,Vega de Alatorre,20.03,-96.63,28.42,77,1,4.41,MX,1590031619
298,Upernavik,72.79,-56.15,-1.66,94,0,2.65,GL,1590031620
299,Neiafu,-18.65,-173.98,27.0,83,75,1.0,TO,1590031621
300,Kokopo,-4.35,152.26,30.64,62,67,4.24,PG,1590031621
301,Vestmanna,62.16,-7.17,8.0,100,98,3.6,FO,1590031621
302,Inhambane,-23.86,35.38,20.41,83,13,2.58,MZ,1590031621
303,Fremont,37.55,-121.99,16.67,67,1,4.1,US,1590031621
304,Harper,4.38,-7.72,26.28,89,54,3.4,LR,1590031621
305,Ixtapa,20.7,-105.2,23.05,70,0,0.89,MX,1590031621
306,Guápiles,10.22,-83.79,22.0,100,75,1.5,CR,1590031621
307,Moussoro,13.64,16.49,30.28,30,4,2.59,TD,1590031621
308,Ardakān,32.31,54.02,20.0,42,41,2.1,IR,1590031621
309,Tommot,58.96,126.29,14.75,36,97,2.16,RU,1590031621
310,Weiser,44.25,-116.97,10.0,81,90,2.6,US,1590031621
311,Vung Tau,10.35,107.08,30.16,71,100,1.75,VN,1590031621
312,Provincia di Imperia,43.97,7.78,19.0,68,5,1.5,IT,1590031622
313,Lata,40.16,-8.33,15.0,91,100,0.56,PT,1590031622
314,Waddān,29.16,16.14,18.53,43,0,3.83,LY,1590031622
315,Fernley,39.61,-119.25,16.67,33,26,4.02,US,1590031394
316,Dzaoudzi,-12.79,45.27,26.0,69,75,6.7,YT,1590031622
317,Japura,-0.32,102.35,30.99,62,99,1.02,ID,1590031622
318,Pevek,69.7,170.31,-1.21,95,13,0.85,RU,1590031622
319,Tasiilaq,65.61,-37.64,-1.0,86,99,2.1,GL,1590031622
320,Khani,41.96,42.96,21.0,46,95,7.2,GE,1590031622
321,Minot,48.23,-101.3,19.0,63,1,9.8,US,1590031622
322,Puerto Nariño,-3.77,-70.38,25.0,100,69,0.45,CO,1590031622
323,Warrnambool,-38.38,142.48,12.78,77,78,6.95,AU,1590031622
324,Tura,25.52,90.22,21.26,98,100,3.64,IN,1590031622
325,Atasū,48.68,71.64,11.59,48,80,2.97,KZ,1590031622
326,Menongue,-14.66,17.69,9.99,66,0,1.09,AO,1590031623
327,Marawi,8.0,124.29,30.0,75,99,3.13,PH,1590031623
328,Padang,-0.95,100.35,30.42,54,100,1.31,ID,1590031623
329,Trairi,-3.28,-39.27,24.53,91,100,3.04,BR,1590031623
330,Jacobina,-11.18,-40.52,19.73,92,97,2.84,BR,1590031624
331,Krasnosel'kup,65.7,82.47,22.32,46,46,5.66,RU,1590031624
332,Comodoro Rivadavia,-45.87,-67.5,7.0,65,0,5.1,AR,1590031379
333,Ivaiporã,-24.25,-51.68,15.87,89,0,2.25,BR,1590031624
334,Tavda,58.04,65.27,11.27,88,100,4.44,RU,1590031624
335,Kavieng,-2.57,150.8,29.44,74,2,5.22,PG,1590031624
336,Bentiu,9.23,29.83,26.34,72,100,3.24,SS,1590031624
337,Sigayevo,56.42,53.78,10.0,95,70,0.45,RU,1590031624
338,Bariloche,-41.15,-71.31,0.0,86,98,3.1,AR,1590031564
339,Tan An,10.53,106.42,33.0,66,40,2.6,VN,1590031625
340,Port Shepstone,-30.74,30.45,17.57,74,0,5.9,ZA,1590031625
341,Conway,35.09,-92.44,20.0,82,75,2.1,US,1590031408
342,Anagé,-14.61,-41.14,19.78,82,73,1.5,BR,1590031625
343,Ust'-Omchug,61.15,149.63,7.74,55,15,2.1,RU,1590031625
344,Nuuk,64.18,-51.72,-1.0,100,47,6.7,GL,1590031625
345,Fornosovo,59.57,30.55,3.0,86,90,7.0,RU,1590031625
346,Renfrew,55.87,-4.39,6.67,100,33,1.5,GB,1590031625
347,Reshetnikovo,56.45,36.57,3.15,95,95,1.94,RU,1590031625
348,Iqaluit,63.75,-68.51,-3.0,73,75,7.2,CA,1590031625
349,Itabirito,-20.25,-43.8,18.0,72,6,1.0,BR,1590031625
350,Zhalantun,48.0,122.72,20.38,32,26,4.46,CN,1590031625
351,Mainburg,48.65,11.78,12.22,87,50,1.0,DE,1590031625
352,Muscatine,41.47,-91.13,16.0,87,90,2.6,US,1590031626
353,Cururupu,-1.83,-44.87,24.45,94,99,1.34,BR,1590031627
354,La Ronge,55.1,-105.28,8.0,65,90,3.1,CA,1590031627
355,Yaroslavl,57.63,39.87,5.0,75,78,3.0,RU,1590031627
356,Homa Bay,-0.53,34.46,18.28,81,40,1.39,KE,1590031627
357,Margate,51.38,1.39,16.11,58,68,0.45,GB,1590031350
358,Marzuq,14.4,46.47,26.38,48,8,1.62,YE,1590031627
359,Topolobampo,25.6,-109.05,24.44,81,0,0.89,MX,1590031425
360,Salalah,17.02,54.09,29.0,79,33,2.1,OM,1590031627
361,Amurzet,47.7,131.1,20.48,28,100,3.47,RU,1590031627
362,Faanui,-16.48,-151.75,26.52,80,1,8.78,PF,1590031627
363,Yining,29.04,114.56,22.0,78,100,0.54,CN,1590031627
364,Verkhnevilyuysk,63.45,120.32,18.1,39,0,3.11,RU,1590031627
365,Katangli,51.71,143.23,9.9,51,85,4.92,RU,1590031628
366,Hasaki,35.73,140.83,15.0,87,75,4.6,JP,1590031629
367,Balkhash,46.84,74.98,21.0,30,23,2.0,KZ,1590031629
368,Iquique,-20.22,-70.14,17.0,72,75,3.1,CL,1590031629
369,Atar,20.52,-13.05,26.05,17,0,1.19,MR,1590031629
370,Lichuan,30.3,108.85,19.95,85,100,0.81,CN,1590031629
371,Fayaoué,-20.65,166.53,23.02,69,47,8.16,NC,1590031629
372,Leh,34.17,77.58,7.62,40,0,1.16,IN,1590031629
