,Source Account,Text,Date,Compound,Positive,Neutral,Negative,Tweet Count
32,BBC,"RT @cbbc: It's #MentalHealthAwarenessWeek2020 and there is no better time to be kind to yourself and others 🥰 #BeKind #BBCOwnIt 
@JoeTasker…",Thu May 21 10:41:59 +0000 2020,0.6116,0.208,0.714,0.078,33
33,BBC,"RT @BBC6Music: As premiered by @ChrisHawkinsuk...

Composer and producer @ErlandCooper explains how he used 6 Music listeners' sounds of ch…",Thu May 21 09:08:20 +0000 2020,0.0,0.0,1.0,0.0,34
34,BBC,Love this!  😍 8-year-old @KatyPerry fan Charlotte gets the surprise of her life when her substitute teacher is... A… https://t.co/a3iB06Ubts,Thu May 21 08:01:00 +0000 2020,0.8977,0.385,0.615,0.0,35
35,BBC,"What’s your mental health tip?

🧠 Mental health campaigner @matthaig1 joins @ChrisHawkinsUK this morning to kick of… https://t.co/sxITXwI65a",Thu May 21 05:57:24 +0000 2020,0.0,0.0,1.0,0.0,36
36,BBC,"For details of organisations which offer advice and support with mental health, go online to https://t.co/rWDj404Gvz",Wed May 20 18:53:15 +0000 2020,0.4019,0.153,0.847,0.0,37
37,BBC,.@DavidHarewood revisits a psychotic episode which saw him restrained by six police officers and sedated by hospita… https://t.co/BTx6ZDUy95,Wed May 20 18:01:00 +0000 2020,0.0,0.0,1.0,0.0,38
38,BBC,"As our lives get more complicated, simple things become more precious. 💙 

@BelugaLagoon #MentalHealth
https://t.co/GePHVoevCo",Wed May 20 16:01:00 +0000 2020,0.6115,0.21,0.79,0.0,39
39,BBC,More information about the range of programming about mental health across the BBC: https://t.co/9Z8jrQrIck,Wed May 20 14:01:51 +0000 2020,0.0,0.0,1.0,0.0,40
40,BBC,"Whether you’ve been together for 8 weeks or 8 years, every relationship's under pressure in lockdown.

Relationship… https://t.co/s0Li4RyHQC",Wed May 20 14:01:00 +0000 2020,-0.296,0.0,0.885,0.115,41
41,BBC,"RT @bbcthree: Roses are red, #ThisCountry is great
We liked this joke so much we made eight https://t.co/MAldf6mtRP",Wed May 20 13:07:13 +0000 2020,0.8555,0.385,0.615,0.0,42
42,BBC,"These scientists are working hard to develop a safe vaccine for COVID-19.

Coronavirus: A #Horizon Special - Part 2… https://t.co/KuHyZAO8lN",Wed May 20 12:01:00 +0000 2020,0.6369,0.233,0.708,0.058,43
43,BBC,"RT @bbcpress: Want to watch and listen to your favourite BBC programmes with your friends and family? @BBCRD have created #BBCTogether, all…",Wed May 20 10:15:46 +0000 2020,0.6597,0.252,0.748,0.0,44
44,BBC,"Congratulations to @captaintommoore, who will soon be #SirCaptainTom!

It's been announced that he is to be knighte… https://t.co/6xdhv4jtUs",Wed May 20 09:11:49 +0000 2020,0.636,0.198,0.802,0.0,45
45,BBC,"For details of organisations which offer advice and support with mental health, go online to https://t.co/rWDj404Gvz",Wed May 20 08:51:42 +0000 2020,0.4019,0.153,0.847,0.0,46
46,BBC,"Why do some people get depressed?

The jam jar analogy is a helpful way of understanding why some people suffer fro… https://t.co/75Q9czfKIA",Wed May 20 08:01:00 +0000 2020,-0.6124,0.098,0.664,0.238,47
47,BBC,"Which record always soothes you?

@bbc6music asked some of their favourite acts this very question. Listen to Handp… https://t.co/APmZCDe2Zh",Wed May 20 07:43:00 +0000 2020,0.0,0.0,1.0,0.0,48
48,BBC,"In Part 2 of the #Horizon Coronavirus Specials, @DoctorChrisVT, @FryRsquared and Dr Michael Mosley examine the late… https://t.co/wdBx30pEPb",Tue May 19 19:01:00 +0000 2020,0.0,0.0,1.0,0.0,49
49,BBC,"This is what kids in 1986 thought the year 2020 would be like... accurate?  🤔
https://t.co/bFIdDYdqxS",Tue May 19 17:01:00 +0000 2020,0.3612,0.135,0.865,0.0,50
50,BBC,"RT @BBC6Music: Which record always soothes you?

We asked a few of our favourite acts this very question. Listen to Handpicked, The Morning…",Tue May 19 16:23:53 +0000 2020,0.0,0.0,1.0,0.0,51
51,BBC,"For details of organisations which offer advice and support with mental health, go online to https://t.co/rWDj404Gvz",Tue May 19 16:02:38 +0000 2020,0.4019,0.153,0.847,0.0,52
52,BBC,"""The reason we're here is that we've both come close to killing ourselves"". 

@ChrisGPackham met Joe Harkness to ta… https://t.co/x9M7WHZORr",Tue May 19 16:01:00 +0000 2020,-0.6597,0.0,0.812,0.188,53
53,BBC,".@MicahRichards talks about why speaking about your feelings is a strength, not a weakness. 

@OpenUniversity… https://t.co/rdqd4H0tsL",Tue May 19 14:08:41 +0000 2020,0.6738,0.283,0.717,0.0,54
54,BBC,RT @bbcpress: This Thursday join the BBC and @UN for the #CreativeDiversity Dialogue to mark #InternationalDiversityDay on @LinkedIn Live w…,Tue May 19 13:08:22 +0000 2020,0.296,0.104,0.896,0.0,55
55,BBC,"RT @bbcpress: #TheNest is the biggest new BBC drama of the year so far, averaging 9m viewers. See what you're missing on @BBCiPlayer: https…",Tue May 19 11:16:29 +0000 2020,-0.296,0.0,0.913,0.087,56
56,BBC,"No primates have gone extinct in the last 100 years... but that could change.

#Primates is streaming now on… https://t.co/pHilRWb7Jn",Tue May 19 11:01:00 +0000 2020,-0.1531,0.0,0.922,0.078,57
57,BBC,"RT @bbcbitesize: This week is #MentalHealthAwarenessWeek and the theme this year is #kindness👫💛

Now more than ever, being kind to our frie…",Tue May 19 08:28:41 +0000 2020,0.7506,0.192,0.808,0.0,58
58,BBC,"RT @bbcbitesize: Morning team ⛅️

📺 Today's subjects for #BBCBitesizeDaily from 9am on BBCiPlayer and Red Button 👉 https://t.co/zZOO8l1o53…",Tue May 19 08:27:35 +0000 2020,0.0,0.0,1.0,0.0,59
59,BBC,"RT @BBCWomansHour: Kindness and #MentalHealthAwarenessWeek 🎧 ▶ Lucy Thorpe, Head of Policy @mentalhealth on changing society for the better…",Tue May 19 08:27:13 +0000 2020,0.6597,0.231,0.769,0.0,60
60,BBC,"""The person that I'm bringing in today lives with anxiety.""

How a teacher surprised his class by opening up about… https://t.co/Sq8N63Sivx",Tue May 19 08:01:00 +0000 2020,0.0516,0.084,0.841,0.075,61
61,BBC,"For details of organisations which offer advice and support with mental health, go online to https://t.co/rWDj404Gvz",Mon May 18 17:03:27 +0000 2020,0.4019,0.153,0.847,0.0,62
62,BBC,"Mental health issues can affect any one of us.

For a range of programmes to help start your conversation go to… https://t.co/KkuxY6eRoU",Mon May 18 17:02:37 +0000 2020,0.4019,0.114,0.886,0.0,63
63,BBC,What is toxic productivity? @Dr_Julie_Smith is here to give you the lowdown on this lockdown phenomenon.… https://t.co/OBIbe4btQf,Mon May 18 14:01:00 +0000 2020,-0.2023,0.0,0.899,0.101,64
64,BBC,"Cereal bar massage technician = new dream job! 🥣

#InsideTheFactory

https://t.co/55Gp0EDlvW",Mon May 18 13:27:29 +0000 2020,0.3164,0.16,0.84,0.0,65
65,BBC,"Ian Fletcher, BBC Head of Values (@hughbon), with support from the @BBCCO, gives a one-off address from his lockdow… https://t.co/eRhyFpj6va",Mon May 18 13:00:01 +0000 2020,0.6597,0.231,0.769,0.0,66
66,BBC,#MentalHealth conditions often have invisible symptoms. Can VR help people express what's going on inside their hea… https://t.co/dGFA6mDOSL,Mon May 18 12:01:00 +0000 2020,0.4019,0.137,0.863,0.0,67
67,BBC,@ITV @Channel4 @bbcthree @skytv @channel5_tv @davechannel @ComedyCentralUK @MTVUK @UKTV Sending virtual hugs 🤗 https://t.co/WaxCsGhWTq,Mon May 18 12:00:56 +0000 2020,0.7184,0.316,0.684,0.0,68
68,BBC,"“You are not alone.”

Radio stations across the UK have joined together for the #MentalHealthMinute - featuring The… https://t.co/QiYPiThw1n",Mon May 18 10:07:39 +0000 2020,0.0,0.0,1.0,0.0,69
69,BBC,"❤️ @mescal_paul: ""Say that you love them, listen and be joyous in their company."" 

If you're Obsessed with… https://t.co/hhXUANbVbr",Mon May 18 08:01:00 +0000 2020,0.8225,0.307,0.63,0.063,70
70,BBC,"RT @bbcbitesize: Tomorrow is the start of #MentalHealthAwarenessWeek 2020 and this year it's all about #Kindness 🧡

Here is your 7 day chal…",Mon May 18 07:58:28 +0000 2020,0.4588,0.115,0.885,0.0,71
71,BBC,"Want to get fit during lockdown? #CouchTo5K could be for you.

🏃‍♀️The app will get you running 5K in nine weeks (e… https://t.co/TH3etAf4fy",Mon May 18 07:53:59 +0000 2020,0.4215,0.137,0.863,0.0,72
72,BBC,"RT @bbcarts: Thank you for coming to #WoWxBBC and for your enthusiasm. We hope you leave the virtual festival inquisitive, inspired and gal…",Mon May 18 07:01:10 +0000 2020,0.9349,0.488,0.476,0.036,73
73,BBC,If you want to keep the #Eurovision fun going - you need to watch The A-Z of Eurovision with @rylan on @bbciplayer!… https://t.co/Jk5u0826M5,Sun May 17 18:59:07 +0000 2020,0.5983,0.189,0.811,0.0,74
74,BBC,"Every #Eurovision winner of the past 25 years! Which is your favourite..? 🤔✨

#Eurovision2020 

https://t.co/u2eeQL8UCx",Sun May 17 13:01:00 +0000 2020,0.75,0.299,0.701,0.0,75
75,BBC,"""The chain will always be more popular than I am."" 😂

@bbcthree's #NormalPeople star @mescal_paul tells @BBCR1 abou… https://t.co/RYBiXdpfX2",Sun May 17 13:01:00 +0000 2020,0.7178,0.239,0.695,0.066,76
76,BBC,"There's lots more deleted #ThisCountry scene on their way from @bbcthree... 

Here's one: Kurtan shows Kerry and th… https://t.co/Bw8swPdAIr",Sun May 17 10:01:00 +0000 2020,0.0,0.0,1.0,0.0,77
77,BBC,#Eurovision: Europe Shine a Light celebrates all 41 songs that would have competed in the #Eurovision2020 contest.… https://t.co/7MwKNGco95,Sat May 16 18:01:00 +0000 2020,0.5719,0.179,0.821,0.0,78
78,BBC,#Eurovision2020 may not be going ahead as planned tonight - but @grahnort will give viewers the chance to vote for… https://t.co/sHsYMyLJ2h,Sat May 16 16:01:00 +0000 2020,0.3612,0.111,0.889,0.0,79
79,BBC,Join HRH The Duke of Cambridge as he aims to break the stigma around men's mental health.… https://t.co/HrlPnCxv1b,Sat May 16 14:00:01 +0000 2020,0.296,0.115,0.885,0.0,80
80,BBC,"What’s the point of noses? 👃
https://t.co/OpTlYow0AA",Sat May 16 11:01:00 +0000 2020,0.0,0.0,1.0,0.0,81
81,BBC,"How well do you know your 90s #Eurovision trivia? Take the quiz from @bbcradio2!  🕺🎶

👉 https://t.co/ennQoFUY6z https://t.co/1snG9TaY0a",Sat May 16 10:01:00 +0000 2020,0.3382,0.094,0.906,0.0,82
82,BBC,RT @bbcarts: Enjoy a Saturday morning stretch and ease into the #WOWxBBC Festival with basketball player and spoken word poet @AsmaElbadawi…,Sat May 16 07:39:10 +0000 2020,0.836,0.331,0.669,0.0,83
83,BBC,"RT @bbceurovision: REST OF WORLD: SATURDAY

EUROPE AND AUSTRALIA: https://t.co/Tgz3Dku91B",Sat May 16 07:39:07 +0000 2020,0.0,0.0,1.0,0.0,84
84,BBC,"It's the #WOWxBBC Festival this weekend. And the line-up is incredible. 

Today @JuliaGillard on leadership,… https://t.co/3PbWr0qnBF",Sat May 16 07:26:19 +0000 2020,0.4939,0.176,0.824,0.0,85
85,BBC,"It's another all-star lineup on @grahnort's sofa tonight!

✨Will Ferrell
✨@mermhart
✨@MarkRuffalo
✨@mescal_paul
✨… https://t.co/4oCgTIUbHd",Fri May 15 19:01:00 +0000 2020,0.0,0.0,1.0,0.0,86
86,BBC,"Brand new #LaterJools starts tonight!  🙌

Jools chats to @QueensChristine from her base in Paris, and singer-songwr… https://t.co/HYGCzBJheJ",Fri May 15 18:01:00 +0000 2020,0.0,0.0,1.0,0.0,87
87,BBC,"RT @BBCLater: ""If I'm brutally honest with you, this is my favourite performance ever done on TV by any artist...""

High praise from @Queen…",Fri May 15 17:26:23 +0000 2020,0.4404,0.216,0.658,0.125,88
88,BBC,#HealthCheckUKLive is streaming now on @bbciplayer.    https://t.co/f7VedVNpQK,Fri May 15 17:24:43 +0000 2020,0.0,0.0,1.0,0.0,89
89,BBC,"With gyms closed, and heavy items like dumbbells difficult to get delivered - @russell_kane has a great tip for kee… https://t.co/0xy6teCxa4",Fri May 15 17:24:03 +0000 2020,0.5994,0.242,0.623,0.136,90
90,BBC,RT @BBCTheOneShow: .@normalpeoplebbc's @daisyedgarjones and @mescal_paul will be on the show on Monday and we want to ask them your Normal…,Fri May 15 14:56:41 +0000 2020,0.0772,0.061,0.939,0.0,91
91,BBC,"RT @HackerTDog: Do you miss Iain and Hacker? Well, we were reunited for one night only cockers. See the whole shambolic film here:
https://…",Fri May 15 14:07:12 +0000 2020,0.128,0.082,0.856,0.062,92
92,BBC,"It may seem simple, but there are important things to remember about safely putting on and taking off a face coveri… https://t.co/F4oYPNBA15",Fri May 15 11:01:00 +0000 2020,0.7579,0.245,0.755,0.0,93
93,BBC,"Serena and Richard are St John Ambulance volunteers, helping manage the crisis.… https://t.co/7blhshCOoI",Fri May 15 08:01:00 +0000 2020,0.296,0.155,0.845,0.0,94
94,BBC,"For everyone whose life has changed. For everyone who misses a loved one.

You got the love. You got this.… https://t.co/t8zgf8PCFX",Thu May 14 20:04:26 +0000 2020,0.802,0.289,0.643,0.068,95
95,BBC,"The brand new one-off special Wipe from @charltonbrooker is nearly here...

Charlie Brooker's #AntiviralWipe | 9pm… https://t.co/vCbTKrC3sf",Thu May 14 19:01:00 +0000 2020,0.4019,0.144,0.856,0.0,96
96,BBC,It took a group of volunteers 45 minutes to rescue a wild horse stuck in a deep mud hole in the foothills of Albert… https://t.co/m3dv9Ah7ez,Thu May 14 16:01:00 +0000 2020,0.3182,0.117,0.813,0.071,97
97,BBC,"RT @BBCNewsbeat: The #Eurovision acts have recorded this message to fans who would normally be watching this week.
 
It's part of our new d…",Thu May 14 15:00:23 +0000 2020,0.0,0.0,1.0,0.0,98
98,BBC,"The face of someone about to VERY seriously judge a dessert... 🧐🤔

@BBCR1 presenter and children's author… https://t.co/jTdnnf8LLn",Thu May 14 13:01:00 +0000 2020,-0.4071,0.0,0.885,0.115,99
99,BBC,Two of the nation’s favourite film critics @KermodeMovie and @simonmayo are turning their critical attention from c… https://t.co/OZvCrUJo0w,Thu May 14 11:01:00 +0000 2020,-0.5423,0.0,0.78,0.22,100
100,CBS,"RT @CBSEveningNews: ON THE ROAD: Since Memorial Day parades and gatherings are cancelled, @SteveHartmanCBS has a patriotic request: he’s ca…",Sat May 23 00:13:01 +0000 2020,-0.25,0.0,0.905,0.095,1
101,CBS,Set sail with a classic this holiday weekend when #CBSMovieNight airs Titanic this Sunday at 7pm/6c on CBS and… https://t.co/IdwJTHWHSJ,Fri May 22 23:00:00 +0000 2020,0.481,0.141,0.859,0.0,2
102,CBS,Don't miss @EBraeden and more in #CBSMovieNight's presentation of Titanic this Sunday at 7/6c on CBS. https://t.co/sIpf7M2WnR,Fri May 22 22:14:52 +0000 2020,0.1139,0.083,0.917,0.0,3
103,CBS,"In one week, you can turn DIY hairDON’Ts into hairDO’s with Haircut Night in America hosted by @RebeccaRomijn and… https://t.co/E48fmRaQl4",Fri May 22 22:06:06 +0000 2020,0.0,0.0,1.0,0.0,4
104,CBS,"Let’s see your lip sync skills in action. Your favorite moments from #CBSMovieNight, like this Sunday's Titanic, ar… https://t.co/LCtejpU0Tv",Fri May 22 21:29:51 +0000 2020,0.6705,0.244,0.756,0.0,5
105,CBS,"RT @CBSAllAccess: Weekend plans are set:
✅ Dive into an action-packed @SWATCBS
✅ Catch up with @TheGoodFight's Christine Baranski on the @c…",Fri May 22 21:13:27 +0000 2020,0.0,0.0,1.0,0.0,6
106,CBS,"Can Javier demonstrate his soccer skills? Well, if you insist. @Broke https://t.co/irknCnCdWw",Fri May 22 20:24:19 +0000 2020,-0.1779,0.141,0.671,0.188,7
107,CBS,RT @johnkrasinski: Wow who can believe when we started this thing together we all just wanted good news to be more fully represented in our…,Fri May 22 19:36:10 +0000 2020,0.7717,0.226,0.774,0.0,8
108,CBS,"RT @CBSNews: ""On @johnkrasinski’s very first episode of @somegoodnews, he asked why has there never been a news show dedicated entirely to…",Fri May 22 19:35:55 +0000 2020,0.4588,0.125,0.875,0.0,9
109,CBS,RT @ALOTO: 🇺🇸 The brand new series of Game On! premieres on @CBS in the US on 27th May. The series is based on A League of their Own and is…,Fri May 22 18:43:48 +0000 2020,0.0,0.0,1.0,0.0,10
110,CBS,RT @ViacomCBS: This week’s @CBS Sunday Movie Night feature is @TitanicMovie. How is this @TheAcademy winner connected to another @Paramount…,Fri May 22 17:46:46 +0000 2020,0.5859,0.167,0.833,0.0,11
111,CBS,"Watch the @gameon premiere Wednesday, May 27 at 8/7c on CBS and @CBSAllAccess. https://t.co/rp86h4uq4P",Fri May 22 17:31:01 +0000 2020,0.0,0.0,1.0,0.0,12
112,CBS,"RT @TheTalkCBS: .@CBS continues CBS Sunday night at the movies with the beloved film “Titanic,” which debuted in theaters two decades ago b…",Fri May 22 17:19:46 +0000 2020,0.5106,0.13,0.87,0.0,13
113,CBS,"RT @MATTHEWHOFFMAN1: Tonight would have been the launch of @loveislandusa Season 2. I cannot wait to return to that padded, windowless room…",Fri May 22 00:34:02 +0000 2020,0.0,0.0,1.0,0.0,14
114,CBS,"RT @CBSInnovationTV: 🎉 #InnovationNation is nominated for THREE @DaytimeEmmys!

We can't contain our excitement &amp; want to send a huge THANK…",Thu May 21 23:34:19 +0000 2020,0.4523,0.242,0.661,0.097,15
115,CBS,"RT @latelateshow: On tonight's show, @RobGronkowski reveals the phone call with @tombrady that convinced him to return to the NFL 👀

Plus @…",Thu May 21 23:33:17 +0000 2020,0.4019,0.109,0.891,0.0,16
116,CBS,RT @RealRonHoward: If you haven’t watched @68Whiskey yet - this should be your next series binge! @CBSAllAccess https://t.co/lB6TPbZr5W,Thu May 21 23:27:28 +0000 2020,0.0,0.0,1.0,0.0,17
117,CBS,RT @broke: And we're LIVE! Join us on the @CBS Facebook right now for #JaimesHappyHour with @JaimeCamil and @IanKarmel from @latelateshow a…,Thu May 21 22:03:25 +0000 2020,-0.2244,0.087,0.791,0.122,18
118,CBS,"RT @Venuseswilliams: What have I gotten myself into?! Check out the @GameOn premiere next week on @CBS!  👀@RobGronkowski, @KeeganMKey, @Bob…",Thu May 21 21:41:12 +0000 2020,0.0,0.0,1.0,0.0,19
119,CBS,"Stay cool this summer with these summer essentials from the CBS Store. Shop water bottles, tanks, and more now:… https://t.co/IJGW2WKDQO",Thu May 21 21:16:30 +0000 2020,0.3182,0.108,0.892,0.0,20
120,CBS,RT @joshgroban: I’ll be on @CBSSunday this Sunday morning and doing a Facebook Live chat right after. I love this show and I’m so happy to…,Thu May 21 19:09:57 +0000 2020,0.8733,0.271,0.729,0.0,21
121,CBS,"RT @letsmakeadeal: Wow, congrats @WayneBrady! 😍 https://t.co/23XI16Wjyv",Thu May 21 19:01:53 +0000 2020,0.8883,0.6,0.4,0.0,22
122,CBS,RT @BandB_CBS: Congratulations are in order for the #BoldandBeautiful nominees! 💫 Let's give these stars some love for their #DaytimeEmmy n…,Thu May 21 19:01:16 +0000 2020,0.8172,0.297,0.636,0.067,23
123,CBS,RT @PriceIsRight: Thank you for the nomination! 🤗🙏 https://t.co/7wzVmph9NC,Thu May 21 19:01:07 +0000 2020,0.68,0.359,0.641,0.0,24
124,CBS,RT @YandR_CBS: Please join us in congratulating these outstanding #YR #DaytimeEmmy nominees! 🏆 Don't miss their big night June 26th only on…,Thu May 21 18:59:16 +0000 2020,0.8495,0.363,0.637,0.0,25
125,CBS,"RT @TheTalkCBS: Join us in congratulating THE TALK hosts and hard-working crew of @thetalkcbs on 6 @DaytimeEmmys nominations, including OUT…",Thu May 21 18:58:56 +0000 2020,0.296,0.104,0.896,0.0,26
126,CBS,CBS leads the #DaytimeEmmyAward nominations with 70. Don’t miss the 47th ANNUAL DAYTIME EMMY® AWARDS when it return… https://t.co/Vn1r7YbPHN,Thu May 21 18:56:56 +0000 2020,0.4824,0.16,0.771,0.069,27
127,CBS,"@MrJerryOC @CBSAllAccess @RebeccaRomijn @PKSubban1 @lindseyvonn @KellyOsbourne We believe in you, Jerry. Also we re… https://t.co/9rWEtYLe39",Thu May 21 18:02:17 +0000 2020,0.0,0.0,1.0,0.0,28
128,CBS,RT @MrJerryOC: HAIRCUT NIGHT IN AMERICA 10/29 @CBS @CBSAllAccess Really hope I don't burn @RebeccaRomijn hair off. @PKSubban1 @lindseyvonn…,Thu May 21 17:56:58 +0000 2020,0.4927,0.151,0.849,0.0,29
129,CBS,".@MrJerryOC &amp; @RebeccaRomijn host HAIRCUT NIGHT IN AMERICA, featuring America’s top hair stylists in an at-home DIY… https://t.co/QqLsEFwaZh",Thu May 21 17:06:50 +0000 2020,0.2023,0.096,0.904,0.0,30
130,CBS,✋ https://t.co/SAa4W8JuVS,Thu May 21 00:03:38 +0000 2020,0.4939,0.615,0.385,0.0,31
131,CBS,RT @NorahODonnell: A note about broadcasting in the era of COVID-19 https://t.co/oiYGv40JfS,Wed May 20 23:55:32 +0000 2020,0.0,0.0,1.0,0.0,32
132,CBS,"We have a TV manifest posted for your weekend viewing pleasure. Join us for Titanic on #CBSMovieNight, which sets s… https://t.co/DYyqXFhgg5",Wed May 20 23:28:57 +0000 2020,0.7096,0.237,0.763,0.0,33
